"Marca temporal","Experimental ID","What is your gender identity?","How old are you?","Where do you live?","What is the primary language spoken in your home?","What is your level of education?","How many years of experience do you have with classical computing?","Which degree are you currentlly enrolled in?","What is your experience with Quantum Computing?"
"2024/05/21 12:53:04 p. m. EEST","Bari011","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/21 12:54:04 p. m. EEST","Bari008","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/21 12:57:34 p. m. EEST","Bari001","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 12:58:14 p. m. EEST","Bari004","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/21 12:59:49 p. m. EEST","Bari003","Male","21-24 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Master degree in Computer Science","None"
"2024/05/21 1:00:30 p. m. EEST","Bari018","Male","41-50 years old","Italy","Another","Doctoral degree","11 or more years","I'm not an student anymore","1-2 years"
"2024/05/21 1:00:31 p. m. EEST","Bari002","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Bachelor degree in Informatica","None"
"2024/05/21 1:00:47 p. m. EEST","Bari015","Male","21-24 years old","Italy","Another","Bachelor's degree","7 - 10 years","Master degree in Computer Science","None"
"2024/05/21 1:00:48 p. m. EEST","Bari017","Male","21-24 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Master degree in Computer Science","None"
"2024/05/21 1:00:59 p. m. EEST","Bari005","Male","21-24 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Master degree in Computer Science","None"
"2024/05/21 1:01:06 p. m. EEST","Bari012","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:01:10 p. m. EEST","Bari009","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:01:15 p. m. EEST","Bari010","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:01:16 p. m. EEST","Bari013","Male","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:01:27 p. m. EEST","Bari006","Female","21-24 years old","Italy","Italy","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:01:44 p. m. EEST","Bari007","Female","21-24 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Master degree in Computer Science","None"
"2024/05/21 1:02:29 p. m. EEST","Bari016","Male","24-30 years old","Italy","Another","Bachelor's degree","3 - 6 years","Master degree in Computer Science","None"
"2024/05/21 1:03:29 p. m. EEST","Bari014","Female","21-24 years old","Italy","Italy","Bachelor's degree","11 or more years","Master degree in Computer Science","None"
"2024/05/24 1:56:27 p. m. EEST","Bari027","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
"2024/05/24 1:57:20 p. m. EEST","Bari035","Male","18-21 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 1:58:10 p. m. EEST","Bari077","Male","22-25 years old","Italy","Italy","Bachelor's degree","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 1:58:31 p. m. EEST","Bari033","Male","22-25 years old","Italy","Italy","High school","7 - 10 years","Bachelor degree in Informatica","None"
"2024/05/24 1:58:32 p. m. EEST","Bari038","Male","18-21 years old","Italy","Italy","High school","3 - 6 years","Bachelor degree in Informatica e Tecnologie per la Produzione del Software","None"
